餐廳名稱,餐廳類型,地區,地址,是否收開瓶費,提供酒器設備,餐廳聯絡電話,官方網站/社群連結,備註說明,最後更新日期,資料來源/提供人
花滔廚房 La Cucina di Flora,西式,松山區,105台灣台北市松山區光復北路120巷31號,不確定,未知,02 2577 2445,—,由 Google Maps API 擷取，需人工驗證,2025-06-20,部落格 pixnet BYOB 懶人包
Pizzeria Oggi,西式,大安區,106台灣台北市大安區敦化南路二段103巷6號,不確定,未知,02 2706 3258,http://www.pizzeria-oggi.com/,—,2025-06-20,pixnet BYOB 價格標註
Allez Bistro,西式,松山區,10549台灣台北市松山區敦化北路155巷117號,不確定,未知,02 2545 5035,http://www.facebook.com/allezb,—,2025-06-20,pixnet BYOB 懶人包
Big Pancia,西式,大安區,106台灣台北市大安區文昌街181號一樓,不確定,未知,—,https://www.instagram.com/pangtaco.tw/,—,2025-06-20,pixnet BYOB 清單
Dancing Pig,西式,大安區,106台灣台北市大安區光復南路290巷48號,不確定,未知,02 2731 6469,https://zh-tw.facebook.com/dancingpigpig,—,2025-06-20,pixnet BYOB 清單
Mangia Bene,西式,松山區,105台灣台北市松山區八德路三段12巷4弄5之1號號1樓,不確定,未知,02 8773 5846,https://www.facebook.com/%E5%A5%BD%E9%A3%9F-Mangia-Bene-451625838216830,—,2025-06-20,pixnet BYOB 清單
Snail,西式,大安區,106台灣台北市大安區敦化南路二段81巷49號,不確定,未知,02 2709 3536,http://www.snail-italy.com/,—,2025-06-20,pixnet BYOB 清單
Au petit cochon,西式,內湖區,114台灣台北市內湖區江南街118巷1號1樓,不確定,未知,02 2767 8483,https://www.facebook.com/au-petit-cochon-%E5%93%88%E5%8F%A4%E5%B0%8F%E9%A4%A8-200397289984548/,—,2025-06-20,pixnet BYOB 清單
Café de Lugano,酒吧,松山區,105台灣台北市松山區敦化北路166號1樓,不確定,未知,02 2712 1660,https://www.instagram.com/cafe_de_lugano/,—,2025-06-20,pixnet BYOB 夜活動
VG Seafood Bar Taipei,酒吧,未知,106台灣台北市大安区敦化南路二段11巷6號1樓,不確定,未知,0905 576 068,https://inline.app/booking/-LnkZeNwebenIIVt3LYy:inline-live-1/-LnkZeRwaPb_Q5JYjIl5,—,2025-06-20,pixnet BYOB 清單
Naked,未知,中山區,104台灣台北市中山區樂群三路56號5樓,不確定,未知,02 8501 5398,https://naked-studio.com/,—,2025-06-20,pixnet BYOB 清單
Freaks Café & Bistro,咖啡館,信義區,"110台灣台北市信義區松高路11號, 4",不確定,未知,02 2722 8129,—,由 Google Maps API 擷取，需人工驗證,2025-06-20,pixnet BYOB 清單
初炸小食店,西式,大安區,106台灣台北市大安區光復南路308巷57號1 樓,不確定,未知,02 2776 5855,https://www.facebook.com/DeepFry2018/,—,2025-06-20,pixnet BYOB 懶人包
Joseph Bistro,西式,中山區,10491台灣台北市中山區松江路69巷13號,不確定,未知,02 2508 1329,https://www.facebook.com/josephbistro/,—,2025-06-20,pixnet BYOB 懶人包
隱食家,西式,中山區,104台灣台北市中山區雙城街28巷8號,不確定,未知,02 2595 8055,https://www.facebook.com/JacklovesVivien/,—,2025-06-20,CParty 米其林 BYOB 推薦
心潮飯廷,酒吧,信義區,110台灣台北市信義區忠孝東路五段68號2樓,不確定,未知,02 2723 9976,https://linktr.ee/sinchaoriceshoppe,—,2025-06-20,CParty 精選台菜
巷子龍家常菜,西式,大安區,106台灣台北市大安區四維路25號,否,未知,02 2325 4566,https://www.facebook.com/talkingheadrestaurant/,描述中表示免開瓶費,2025-06-20,CParty 精選台菜
布雙家,未知,未知,103台灣台北市大同區延平北路一段140號,不確定,未知,02 2559 5881,https://rink.cc/ulggg,—,2025-06-20,IG 開瓶費討論
Goo Donut,未知,未知,10491台灣台北市大同區長安西路52-1號,不確定,未知,02 2511 8061,https://www.misterdonut.com.tw/,—,2025-06-20,pixnet 早期 BYOB 紀錄
樂崎火鍋民生店,西式,松山區,105009台灣台北市松山區民生東路四段55巷3弄14號,不確定,未知,02 2718 2480,https://linktr.ee/rakusaki_hotpot,—,2025-06-20,Threads 社群回報
