WP_Post_ID,Name,Add,Phone,Google_Website,Yelp_URL,philly_restaurant_type,philly_restaurant_type_other_note,philly_corkage_fee,corkage_fee_amount,other_corkage_policy,wine_service_equipment,philly_equipment_other_note,byob_service_level,Latitude,Longitude,Date,Email_1,Email_2,Email_3
1374,Burrata,"1247 S 13th St, Philadelphia, PA 19147, United States",(215) 465-2200,http://www.burrataphilly.com/,https://www.yelp.com/biz/burrata-philadelphia,Italian,,free,,,"wine glasses, opener/corkscrew, Ice bucket",,self_service,39.9339343,-75.1652492,2025/11/8,contact@sansoxygen.com,burrataphilly@gmail.com,
1376,White yak," 6118 Ridge Ave, Philadelphia, PA 19128 ",(215) 483-0764  ,https://whiteyakrestaurant.com/?utm_source=google,https://www.yelp.com/biz/white-yak-philadelphia,other,Tibetan,free,,,,,: -- 請選擇 --,40.0337802,-75.2157966,2025/11/26,,,
1377,La Nonna,"214 South St, Philadelphia, PA 19147",(267) 928-3262,http://ristorantelanonna.com/,https://www.yelp.com/biz/la-nonna-philadelphia,Italian,,free,,,,,basic_service,39.9411075,-75.1462494,2025/11/8,,,
1383,Vientiane Bistro,"2537 Kensington Ave, Philadelphia, PA 19125",(267) 703-8199  ,https://www.vientianebistro.com/,https://www.yelp.com/biz/vientiane-bistro-philadelphia,"Thai, other",Laotian,free,,,wine glasses,,self_service,39.9881099,-75.1282341,2025/11/26,astigma@astigmatic.com,,
1387,Yamitsuki,"1028 Arch St , Philadelphia, PA 19107",(215) 629-3888  ,https://yamitsuki1028.wixsite.com/yamitsukiramen,https://www.yelp.com/biz/yamitsuki-ramen-philadelphia,"Asian, other",Ramen,other,,Idk,other,Idk I just walked in here with beers,no_service,39.9535423,-75.1574552,2025/11/26,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,yamitsuki1028@gmail.com,
1388,Sakartvelo,"705 Chestnut St, Philadelphia, PA 19106",(267) 319-1631  ,https://sakartvelopa.com/,https://www.yelp.com/biz/sakartvelo-philadelphia,other,Georgian,free,,,,,: -- 請選擇 --,39.949672,-75.152562,2025/11/26,test@email.com,,
1389,Apricot Stone,"428 W Girard Ave, Philadelphia, PA 19123 ",(267) 606-6596  ,http://www.apricotstonephilly.com/,https://www.yelp.com/biz/apricot-stone-philadelphia-4,"Mediterranean, other",Armenian/Syrian,free,,,,,: -- 請選擇 --,39.9698886,-75.1440385,2025/11/26,info@apricotstonephilly.com,,
1398,Chabba Thai bistro,"4343 Main St, Philadelphia, PA 19127",(215) 483-1979  ,https://chabaathai.com/,,Thai,,corkage_fee,,,"wine glasses, opener/corkscrew",,basic_service,40.0256934,-75.2233971,2025/11/26,,,
1399,Yanako restaurant,"4345 Main St, Philadelphia, PA 19127",(267) 297-8151  ,https://theyanako.com/,,"Japanese, other",Sushi Bars,corkage_fee,,,"wine glasses, opener/corkscrew",,basic_service,40.0256009,-75.2234981,2025/11/26,,,
1401,Fiorino,"3572 Indian Queen Ln, Philadelphia, PA 19129",(215) 843-1500  ,https://www.fiorino.us/,https://www.yelp.com/biz/fiorino-philadelphia-2,Italian,,free,,,wine glasses,,basic_service,40.009792,-75.1904261,2025/11/26,,,
1402,Santucci's Original Square Pizza,"901 S 10th St Philadelphia, PA 19147",(215) 825-5304,https://santuccispizza.com/santuccis-roxborough/,https://www.yelp.com/biz/santuccis-original-square-pizza-philadelphia-2,"Italian, other",Pizza,free,0,,,,: -- 請選擇 --,39.9390352,-75.1592254,2025/11/24,,,
1404,Han dynasty (manayunk),"4356 Main St, Philadelphia, PA 19127",(215) 508-2066  ,http://www.handynasty.net/,https://www.yelp.com/biz/the-towpath-philadelphia,Asian,,free,,,wine glasses,,basic_service,40.0253737,-75.2238628,2025/11/26,,,
1407,Casablanca Mediterranean Grill,"947 Federal St, Philadelphia, PA 19147",(267) 324-5165  ,http://www.casablanca-grill.com/,https://www.yelp.com/biz/casablanca-mediterranean-grill-philadelphia,Mediterranean,,free,,,"wine glasses, shot glasses, opener/corkscrew, Ice bucket",,self_service,39.9346672,-75.1602861,2025/11/26,casablancamg947@gmail.com,,
1408,Alyan’s Middle Eastern & Mediterranean Restaurant,"603 S 4th St, Philadelphia, PA 19147",(215) 922-3553  ,,,Mediterranean,,free,,,none,,no_service,39.9414148,-75.1490542,2025/11/26,,,
1409,Zeppoli,"618 Collings Ave, Collingswood NJ 08107",(856) 854-2670  ,http://www.zeppolirestaurant.com/,https://www.yelp.com/biz/zeppoli-collingswood,"Italian, Mediterranean",,free,,,"wine glasses, opener/corkscrew, Ice bucket",,basic_service,39.9107139,-75.0844742,2025/11/26,,,
1410,June BYOB," 690 Haddon Ave, Collingswood, NJ 08108 ",(856) 240-7041  ,http://www.junebyob.com/,https://www.yelp.com/biz/june-byob-collingswood,"French, Fine dining",,free,,,"wine glasses, opener/corkscrew, Ice bucket",,basic_service,39.9162158,-75.0694386,2025/11/26,info@junebyob.com,,
1412,Scampi," 617 S 3rd St, Philadelphia, PA 19147 ",,https://www.scampiphilly.com/menu,https://www.yelp.com/biz/scampi-philadelphia,Italian,,free,,,"wine glasses, opener/corkscrew, wine storage locker service",,full_service,39.9408982,-75.1475036,2025/11/26,,,
1417,Kung Fu Hot Pot,"1008 Cherry St 3rd floor, Philadelphia, PA 19107",(215) 606-1899  ,,https://www.yelp.com/biz/kungfu-hotpot-philadelphia,"Asian, other",Chinese,other,,I think you just need to bring a bottle opener,none,,self_service,39.9544622,-75.1565415,2025/11/26,,,
1555,A Mano,"2244 Fairmount Ave, Philadelphia, PA 19130",(215) 236-1114,http://amanophl.com/,https://www.yelp.com/biz/a-mano-philadelphia,Italian,,free,,,,,: -- 請選擇 --,39.9671585,-75.1753073,2025/11/8,info@amanophl.com,,
1556,Adoro Restaurant,"769 E Passyunk Ave, Philadelphia, PA 19147",(215) 627-1454,https://www.adorobistro.com/,https://www.yelp.com/biz/adoro-restaurant-philadelphia,"Italian, other",Sandwiches,free,,,,,: -- 請選擇 --,39.9387991,-75.1523596,2025/11/8,,,
1557,Ambrosia Ristorante,"231 S 24th St, Philadelphia, PA 19103, United States",(215) 703-2010,https://www.ambrosiaphilly.com/,https://www.yelp.com/biz/ambrosia-ristorante-byob-philadelphia,"Italian, other",Breakfast & Brunch,free,,,,,: -- 請選擇 --,39.9500065,-75.1796408,2025/11/8,,,
1558,Bistro La Baia BYOB,"1700 Lombard St, Philadelphia, PA 19146, United States",(267) 687-1561,http://www.bistrolabaia.com/,,"Italian, Mediterranean, Seafood",,free,,,,,: -- 請選擇 --,39.945162,-75.1702591,2025/11/8,1700bistrolabaia@gmail.com,,
1559,Casa Nostra,"775 S Front St, Philadelphia, PA 19147",(215) 975-0055,http://www.casanostraphilly.com/,https://www.yelp.com/biz/casa-nostra-philadelphia,"Italian, Seafood, other",Pasta Shops,free,,,,,: -- 請選擇 --,39.9378908,-75.1445172,2025/11/8,casanostraphilly@gmail.com,,
1560,CHAR,"310 Master St, Philadelphia, PA 19122",(215) 964-9874,http://char.pizza/,https://www.yelp.com/biz/char-philadelphia,other,"Pizza, Desserts",free,,,,,: -- 請選擇 --,39.9724372,-75.1410186,2025/11/8,hospitality@char.pizza,viraj@char.pizza,
1561,El Chingon Philly,"1524 S 10th St, Philadelphia, PA 19147",(267) 239-2131,https://www.elchingonphilly.com/,,"Mexican, other","Sandwiches, Tacos",free,,,,,: -- 請選擇 --,39.9301263,-75.1616063,2025/11/8,info@elchingonphilly.com,,
1562,Elma,"431 E Girard Ave, Philadelphia, PA 19125",,https://www.elmaphilly.com/,https://www.yelp.com/biz/elma-philadelphia,Italian,,free,,,,,: -- 請選擇 --,39.9707331,-75.1297051,2025/11/8,hello@elmaphilly.com,,
1563,Giorgio On Pine,"1328 Pine St, Philadelphia, PA 19107, United States",(215) 545-6265,https://www.giorgio-on-pine.com/,https://www.yelp.com/biz/giorgio-on-pine-philadelphia-3,"Italian, other",Pizza,free,,,,,: -- 請選擇 --,39.9452862,-75.1640667,2025/11/8,,,
1564,Giorgio on Pine II,"1334 Pine St, Philadelphia, PA 19107, United States",(215) 545-2482,https://giorgioonpine2.com/,https://www.yelp.com/biz/giorgio-on-pine-philadelphia-3,"Italian, other",Pizza,free,,,,,: -- 請選擇 --,39.9453439,-75.1642327,2025/11/8,,,
1565,Helm,"1303 N 5th St, Philadelphia, PA 19122, United States",(215) 309-2211,http://helmphilly.com/,https://www.yelp.com/biz/helm-philadelphia,other,New American,free,,,,,: -- 請選擇 --,39.9715643,-75.1445194,2025/11/8,,,
1566,Hikari Sushi,"1040 N American St #701, Philadelphia, PA 19123",(215) 923-2654,http://www.hikariphilly.com/,https://www.yelp.com/biz/hikari-sushi-philadelphia,"Japanese, other",Sushi Bars,free,,,,,: -- 請選擇 --,39.9673472,-75.1409852,2025/11/8,hikariphilly17@gmail.com,,
1567,ILLATA,"2241 Grays Ferry Ave, Philadelphia, PA 19146, United States",,http://www.illataphl.com/,https://www.yelp.com/biz/illata-philadelphia,"Italian, American, Seafood",,free,,,"wine glasses, opener/corkscrew, Ice bucket",,: -- 請選擇 --,39.9448234,-75.1800169,2025/11/8,info@illataphl.com,,
1568,Kei Sushi,"1711 South St, Philadelphia, PA 19146, United States",(215) 309-2925,https://keisushiphilly.net/?utm_source=google,https://www.yelp.com/biz/kei-sushi-restaurant-philadelphia,"Seafood, Japanese, other",Sushi Bars,free,,,,,: -- 請選擇 --,39.9444195,-75.1707379,2025/11/8,,,
1569,Kichi Omakase,"112 S 12th St, Philadelphia, PA 19107, United States",(215) 359-6099,,https://www.yelp.com/biz/kichi-omakase-philadelphia-2,"Seafood, Japanese, other",Sushi Bars,free,,,,,: -- 請選擇 --,39.9499108,-75.160455,2025/11/8,,,
1570,Kinme,"1117 Locust St, Philadelphia, PA 19107, United States",(215) 982-1722,https://kinmepa.com/,https://www.yelp.com/biz/kinme-philadelphia,"Japanese, other",Sushi Bars,free,,,,,: -- 請選擇 --,39.9477857,-75.160108,2025/11/8,,,
1571,KINTO Cozy & Authentic Georgian Restaurant,"1144 Frankford Ave, Philadelphia, PA 19125",(267) 857-9500,https://kintophilly.com/,,other,Georgian,free,,,,,: -- 請選擇 --,39.9681268,-75.1345574,2025/11/8,,,
1573,La Viola Bistro,"253 S 16th St, Philadelphia, PA 19102, United States",(215) 735-8630,http://laviolaphiladelphia.com/,https://www.yelp.com/biz/la-viola-ovest-philadelphia?start=40,Italian,,free,,,,,: -- 請選擇 --,39.9477943,-75.1677853,2025/11/8,,,
1574,L'Angolo Ristorante,"1415 W Porter St, Philadelphia, PA 19145, United States",(215) 389-4252,,https://www.yelp.com/biz/l-angolo-ristorante-philadelphia-3,Italian,,free,,,,,: -- 請選擇 --,39.9196278,-75.1713861,2025/11/8,,,
1575,L'Anima,"1001 S 17th St, Philadelphia, PA 19146, United States",(215) 595-2500,http://www.lanimaphiladelphia.com/,https://www.yelp.com/biz/l-anima-philadelphia-2,Italian,,free,,,,,: -- 請選擇 --,39.9394776,-75.1711941,2025/11/8,,,
1576,Little Fish BYOB,"746 S 6th St, Philadelphia, PA 19147",(267) 455-0172,https://www.littlefishbyob.com/,,Seafood,,free,,,,,: -- 請選擇 --,39.9399907,-75.1529637,2025/11/8,hello@littlefishbyob.com,,
1577,Luna BYOB,"227 S 20th St, Philadelphia, PA 19103, United States",(215) 693-2220,https://lunabyob.com/,https://www.yelp.com/biz/luna-byob-philadelphia,Italian,,free,,,,,: -- 請選擇 --,39.9496915,-75.1737865,2025/11/8,info@lunabyob.com,info@ndiscovered.com,
1578,Mawn,"764 S 9th St, Philadelphia, PA 19147",,https://mawnphilly.com/,https://www.yelp.com/biz/mawn-philadelphia,other,Cambodian,free,,,,,: -- 請選擇 --,39.9399765,-75.1578538,2025/11/8,,,
1579,Melograno,"2012 Sansom St, Philadelphia, PA 19103, United States",(215) 875-8116,http://www.melogranophiladelphia.com/,https://www.yelp.com/biz/melograno-philadelphia,Italian,,free,,,,,: -- 請選擇 --,39.9512509,-75.1741235,2025/11/8,melogranophiladelphia@gmail.com,,
1580,Mercato,"1216 Spruce St, Philadelphia, PA 19107, United States",(215) 985-2962,http://www.mercatobyob.com/,https://www.yelp.com/biz/mercato-byob-philadelphia,Italian,,free,,,,,: -- 請選擇 --,39.9464992,-75.1617682,2025/11/8,events@anni-restaurants.com,info@mercatobyob.com,
1581,Nakama Japanese Cuisines & Omakase,"45 N 13th St, Philadelphia, PA 19107",(267) 876-7080,https://exploretock.com/nakama-japanese-cuisines--omakase-philadelphia,https://www.yelp.com/biz/nakama-japanese-cuisines-and-omakase-philadelphia,other,"Ramen, Sushi Bars",free,,,,,: -- 請選擇 --,39.9535978,-75.1609848,2025/11/8,,,
1582,Nori Sushi,"1636 South St, Philadelphia, PA 19146, United States",(215) 735-6668,https://norisushi1636.com/,https://www.yelp.com/biz/nori-sushi-philadelphia,"Japanese, other",Sushi Bars,free,,,,,: -- 請選擇 --,39.9440412,-75.1700197,2025/11/8,,,
1583,Olea,"232 Arch St, Philadelphia, PA 19106",(267) 519-8315,http://oleaphilly.com/,https://www.yelp.com/biz/olea-philadelphia,"Mediterranean, other",Tapas/Small Plates,free,,,,,: -- 請選擇 --,39.9519494,-75.1443869,2025/11/8,luis.oleaphilly@gmail.com,,
1584,Paffuto,"1009 S 8th St, Philadelphia, PA 19147",(215) 282-7262,https://www.paffutophl.com/,https://www.yelp.com/biz/paffuto-philadelphia,"Italian, other",Pop-Up Restaurants,free,,,,,: -- 請選擇 --,39.9368693,-75.1565159,2025/11/8,paffutophl@gmail.com,,
