restaurant_id,name,address,latitude,longitude,phone,website_url,yelp_url,restaurant_types,type_other_note,corkage_fee_type,corkage_fee_amount,other_corkage_policy,wine_service_equipment,equipment_other_note,byob_service_level,last_verified_at,emails
1374,Burrata,"1247 S 13th St, Philadelphia, PA 19147, United States",39.9339343,-75.16524919999999,(215) 465-2200,http://www.burrataphilly.com/,https://www.yelp.com/biz/burrata-philadelphia,italian,,free,,,wine_glasses;opener_corkscrew;ice_bucket,,self_service,2025-11-08,contact@sansoxygen.com;burrataphilly@gmail.com
1376,White yak,"6118 Ridge Ave, Philadelphia, PA 19128",40.0337802,-75.21579659999999,(215) 483-0764,https://whiteyakrestaurant.com/?utm_source=google,https://www.yelp.com/biz/white-yak-philadelphia,other,Tibetan,free,,,,,: -- 請選擇 --,2025-11-26,
1377,La Nonna,"214 South St, Philadelphia, PA 19147",39.9411075,-75.1462494,(267) 928-3262,http://ristorantelanonna.com/,https://www.yelp.com/biz/la-nonna-philadelphia,italian,,free,,,,,basic_service,2025-11-08,
1383,Vientiane Bistro,"2537 Kensington Ave, Philadelphia, PA 19125",39.9881099,-75.1282341,(267) 703-8199,https://www.vientianebistro.com/,https://www.yelp.com/biz/vientiane-bistro-philadelphia,thai;other,Laotian,free,,,wine_glasses,,self_service,2025-11-26,astigma@astigmatic.com
1387,Yamitsuki,"1028 Arch St , Philadelphia, PA 19107",39.9535423,-75.1574552,(215) 629-3888,https://yamitsuki1028.wixsite.com/yamitsukiramen,https://www.yelp.com/biz/yamitsuki-ramen-philadelphia,asian;other,Ramen,other,,Idk,other,Idk I just walked in here with beers,no_service,2025-11-26,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;yamitsuki1028@gmail.com
1388,Sakartvelo,"705 Chestnut St, Philadelphia, PA 19106",39.949672,-75.15256200000002,(267) 319-1631,https://sakartvelopa.com/,https://www.yelp.com/biz/sakartvelo-philadelphia,other,Georgian,free,,,,,: -- 請選擇 --,2025-11-26,test@email.com
1389,Apricot Stone,"428 W Girard Ave, Philadelphia, PA 19123",39.9698886,-75.1440385,(267) 606-6596,http://www.apricotstonephilly.com/,https://www.yelp.com/biz/apricot-stone-philadelphia-4,mediterranean;other,Armenian/Syrian,free,,,,,: -- 請選擇 --,2025-11-26,info@apricotstonephilly.com
1398,Chabba Thai bistro,"4343 Main St, Philadelphia, PA 19127",40.0256934,-75.2233971,(215) 483-1979,https://chabaathai.com/,,thai,,corkage_fee,,,wine_glasses;opener_corkscrew,,basic_service,2025-11-26,
1399,Yanako restaurant,"4345 Main St, Philadelphia, PA 19127",40.0256009,-75.2234981,(267) 297-8151,https://theyanako.com/,,japanese;other,Sushi Bars,corkage_fee,,,wine_glasses;opener_corkscrew,,basic_service,2025-11-26,
1401,Fiorino,"3572 Indian Queen Ln, Philadelphia, PA 19129",40.009792,-75.1904261,(215) 843-1500,https://www.fiorino.us/,https://www.yelp.com/biz/fiorino-philadelphia-2,italian,,free,,,wine_glasses,,basic_service,2025-11-26,
1402,Santucci's Original Square Pizza,"901 S 10th St Philadelphia, PA 19147",39.9390352,-75.1592254,(215) 825-5304,https://santuccispizza.com/santuccis-roxborough/,https://www.yelp.com/biz/santuccis-original-square-pizza-philadelphia-2,italian;other,Pizza,free,0.0,,,,: -- 請選擇 --,2025-11-24,
1404,Han dynasty (manayunk),"4356 Main St, Philadelphia, PA 19127",40.0253737,-75.22386279999999,(215) 508-2066,http://www.handynasty.net/,https://www.yelp.com/biz/the-towpath-philadelphia,asian,,free,,,wine_glasses,,basic_service,2025-11-26,
1407,Casablanca Mediterranean Grill,"947 Federal St, Philadelphia, PA 19147",39.9346672,-75.1602861,(267) 324-5165,http://www.casablanca-grill.com/,https://www.yelp.com/biz/casablanca-mediterranean-grill-philadelphia,mediterranean,,free,,,wine_glasses;shot_glasses;opener_corkscrew;ice_bucket,,self_service,2025-11-26,casablancamg947@gmail.com
1408,Alyan’s Middle Eastern & Mediterranean Restaurant,"603 S 4th St, Philadelphia, PA 19147",39.9414148,-75.1490542,(215) 922-3553,,,mediterranean,,free,,,none,,no_service,2025-11-26,
1409,Zeppoli,"618 Collings Ave, Collingswood NJ 08107",39.9107139,-75.0844742,(856) 854-2670,http://www.zeppolirestaurant.com/,https://www.yelp.com/biz/zeppoli-collingswood,italian;mediterranean,,free,,,wine_glasses;opener_corkscrew;ice_bucket,,basic_service,2025-11-26,
1410,June BYOB,"690 Haddon Ave, Collingswood, NJ 08108",39.9162158,-75.0694386,(856) 240-7041,http://www.junebyob.com/,https://www.yelp.com/biz/june-byob-collingswood,french;fine_dining,,free,,,wine_glasses;opener_corkscrew;ice_bucket,,basic_service,2025-11-26,info@junebyob.com
1412,Scampi,"617 S 3rd St, Philadelphia, PA 19147",39.9408982,-75.1475036,,https://www.scampiphilly.com/menu,https://www.yelp.com/biz/scampi-philadelphia,italian,,free,,,wine_glasses;opener_corkscrew;wine_storage_locker_service,,full_service,2025-11-26,
1417,Kung Fu Hot Pot,"1008 Cherry St 3rd floor, Philadelphia, PA 19107",39.95446219999999,-75.1565415,(215) 606-1899,,https://www.yelp.com/biz/kungfu-hotpot-philadelphia,asian;other,Chinese,other,,I think you just need to bring a bottle opener,none,,self_service,2025-11-26,
1555,A Mano,"2244 Fairmount Ave, Philadelphia, PA 19130",39.9671585,-75.1753073,(215) 236-1114,http://amanophl.com/,https://www.yelp.com/biz/a-mano-philadelphia,italian,,free,,,,,: -- 請選擇 --,2025-11-08,info@amanophl.com
1556,Adoro Restaurant,"769 E Passyunk Ave, Philadelphia, PA 19147",39.9387991,-75.1523596,(215) 627-1454,https://www.adorobistro.com/,https://www.yelp.com/biz/adoro-restaurant-philadelphia,italian;other,Sandwiches,free,,,,,: -- 請選擇 --,2025-11-08,
1557,Ambrosia Ristorante,"231 S 24th St, Philadelphia, PA 19103, United States",39.9500065,-75.1796408,(215) 703-2010,https://www.ambrosiaphilly.com/,https://www.yelp.com/biz/ambrosia-ristorante-byob-philadelphia,italian;other,Breakfast & Brunch,free,,,,,: -- 請選擇 --,2025-11-08,
1558,Bistro La Baia BYOB,"1700 Lombard St, Philadelphia, PA 19146, United States",39.945162,-75.1702591,(267) 687-1561,http://www.bistrolabaia.com/,,italian;mediterranean;seafood,,free,,,,,: -- 請選擇 --,2025-11-08,1700bistrolabaia@gmail.com
1559,Casa Nostra,"775 S Front St, Philadelphia, PA 19147",39.9378908,-75.1445172,(215) 975-0055,http://www.casanostraphilly.com/,https://www.yelp.com/biz/casa-nostra-philadelphia,italian;seafood;other,Pasta Shops,free,,,,,: -- 請選擇 --,2025-11-08,casanostraphilly@gmail.com
