"Post ID",Restaurant URL,Restaurant,Address,Token,"Takeover Link",Expires,Status,Email_1,Email_2,Email_3
1555,https://byobmap.com/byob-restaurant/a-mano/,"A Mano","2244 Fairmount Ave, Philadelphia, PA 19130",jtIKt41Ey4arJHvK9KtsIf1tNj2c6uhX,https://byobmap.com/takeover-restaurant?token=jtIKt41Ey4arJHvK9KtsIf1tNj2c6uhX,"2025-12-18 07:06:28","✅ generated",info@amanophl.com
1558,https://byobmap.com/byob-restaurant/bistro-la-baia-byob/,"Bistro La Baia BYOB","1700 Lombard St, Philadelphia, PA 19146",IQaoQIanng8iKeI0NDaSqOSeKJLQQJnD,https://byobmap.com/takeover-restaurant?token=IQaoQIanng8iKeI0NDaSqOSeKJLQQJnD,"2025-12-18 07:06:28","✅ generated",1700bistrolabaia@gmail.com
1374,https://byobmap.com/byob-restaurant/burrata/,Burrata,"1247 S 13th St",w6JRhrpqGsvoobAvn7uLbl3JSgX0NS0O,https://byobmap.com/takeover-restaurant?token=w6JRhrpqGsvoobAvn7uLbl3JSgX0NS0O,"2025-12-18 07:06:28","✅ generated",contact@sansoxygen.com,burrataphilly@gmail.com
1559,https://byobmap.com/byob-restaurant/casa-nostra/,"Casa Nostra","775 S Front St, Philadelphia, PA 19147",KTAMu4GPn5q8w11eLyNAcSdqytxN1TdS,https://byobmap.com/takeover-restaurant?token=KTAMu4GPn5q8w11eLyNAcSdqytxN1TdS,"2025-12-18 07:06:28","✅ generated",casanostraphilly@gmail.com
1560,https://byobmap.com/byob-restaurant/char/,CHAR,"310 Master St, Philadelphia, PA 19122",tWKJCeIQGT8aWBXPGIUhqrEEzUYpKrSS,https://byobmap.com/takeover-restaurant?token=tWKJCeIQGT8aWBXPGIUhqrEEzUYpKrSS,"2025-12-18 07:06:28","✅ generated",hospitality@char.pizza,viraj@char.pizza
1561,https://byobmap.com/byob-restaurant/el-chingon-philly/,"El Chingon Philly","1524 S 10th St, Philadelphia, PA 19147",ceNNObYScsOpY8ij2U3lRcAzGPRHtxz6,https://byobmap.com/takeover-restaurant?token=ceNNObYScsOpY8ij2U3lRcAzGPRHtxz6,"2025-12-18 07:06:28","✅ generated",info@elchingonphilly.com
1562,https://byobmap.com/byob-restaurant/elma/,Elma,"431 E Girard Ave, Philadelphia, PA 19125",Dvl9gcDVr2dGU9M946IGs414HFkF8Npc,https://byobmap.com/takeover-restaurant?token=Dvl9gcDVr2dGU9M946IGs414HFkF8Npc,"2025-12-18 07:06:28","✅ generated",hello@elmaphilly.com
1566,https://byobmap.com/byob-restaurant/hikari-sushi/,"Hikari Sushi","1040 N American St #701, Philadelphia, PA 19123",EkQ9vTtixFtxu4e2qWMBrIB6jw8FNICW,https://byobmap.com/takeover-restaurant?token=EkQ9vTtixFtxu4e2qWMBrIB6jw8FNICW,"2025-12-18 07:06:28","✅ generated",hikariphilly17@gmail.com
1567,https://byobmap.com/byob-restaurant/illata/,ILLATA,"2241 Grays Ferry Ave, Philadelphia, PA 19146",NTvn9BzeW1lpCoKtcUsLToD45zfrBVwV,https://byobmap.com/takeover-restaurant?token=NTvn9BzeW1lpCoKtcUsLToD45zfrBVwV,"2025-12-18 07:06:28","✅ generated",info@illataphl.com
1576,https://byobmap.com/byob-restaurant/little-fish-byob/,"Little Fish BYOB","746 S 6th St, Philadelphia, PA 19147",yU4384XLUqLde5hw8a7De86ELoV0LECQ,https://byobmap.com/takeover-restaurant?token=yU4384XLUqLde5hw8a7De86ELoV0LECQ,"2025-12-18 07:06:28","✅ generated",hello@littlefishbyob.com
1577,https://byobmap.com/byob-restaurant/luna-byob/,"Luna BYOB","227 S 20th St, Philadelphia, PA 19103",TJo8Ds7Za8O5KNPO3Ov1bWEjy0Pu2X5n,https://byobmap.com/takeover-restaurant?token=TJo8Ds7Za8O5KNPO3Ov1bWEjy0Pu2X5n,"2025-12-18 07:06:28","✅ generated",info@lunabyob.com,info@ndiscovered.com
1579,https://byobmap.com/byob-restaurant/melograno/,Melograno,"2012 Sansom St, Philadelphia, PA 19103",fOE3tTLQl1RYlMerwCwOHK9E5ftu8tFY,https://byobmap.com/takeover-restaurant?token=fOE3tTLQl1RYlMerwCwOHK9E5ftu8tFY,"2025-12-18 07:06:28","✅ generated",melogranophiladelphia@gmail.com
1580,https://byobmap.com/byob-restaurant/mercato/,Mercato,"1216 Spruce St, Philadelphia, PA 19107",BByL08bK3whlNGmCBUAWWJG2rPkX6GKe,https://byobmap.com/takeover-restaurant?token=BByL08bK3whlNGmCBUAWWJG2rPkX6GKe,"2025-12-18 07:06:28","✅ generated",events@anni-restaurants.com,info@mercatobyob.com
